symbol,adf_p_level,adf_p_diff,adf_I(1),pp_p_level,pp_p_diff,pp_I(1)
CPAY,0.16873572706418827,0.0,True,0.21756944359583386,0.0,True
CPRT,0.8275949599795536,0.0,True,0.7926811076775221,0.0,True
CRL,0.31647048961182334,1.59462585255498e-21,True,0.31400950352453827,0.0,True
CRM,0.1779774992115924,0.0,True,0.1941911782893705,0.0,True
CROX,0.4329232695346267,0.0,True,0.469025871679057,0.0,True
CRWD,0.3462304283732227,0.0,True,0.2900043383415111,0.0,True
CSCO,0.9710935532694405,3.558983437975479e-18,True,0.9617782284728036,0.0,True
CSGP,0.3424950914160595,0.0,True,0.2630276494285525,0.0,True
CSL,0.24336173150978951,0.0,True,0.22145694210693773,0.0,True
CSX,0.295979297082434,0.0,True,0.2074936285520811,0.0,True
CTAS,0.18102335035585754,0.0,True,0.1907904477550907,0.0,True
CTSH,0.24228159547353018,0.0,True,0.13612581405940388,0.0,True
CTVA,0.2745747096337909,7.422235635785897e-30,True,0.3239518919594432,0.0,True
CVNA,0.34017470641466985,1.4151774970169397e-16,True,0.41729527181726256,0.0,True
CVS,0.31623730694609054,0.0,True,0.28117877738055075,0.0,True
CVX,0.00717599069535108,0.0,False,0.009116078966734227,0.0,False
D,0.4959992595258147,1.8412947449316558e-23,True,0.40361037437146335,0.0,True
DAL,0.5531726534676307,0.0,True,0.43153754730579874,0.0,True
DAR,0.030729076979183003,0.0,False,0.027247647237411684,0.0,False
DBX,0.21324549607849763,0.0,True,0.18530231503795547,0.0,True
DD,0.6096173763832575,0.0,True,0.5932165915325627,0.0,True
DDOG,0.1839696087368301,0.0,True,0.13109729612705567,0.0,True
DE,0.49322974294930116,0.0,True,0.5810663791819064,0.0,True
DECK,0.706835712614305,0.0,True,0.5722834424448886,0.0,True
DELL,0.03613223780832427,0.0,False,0.041615260322182664,0.0,False
DG,0.5655749776558698,8.55270335522984e-30,True,0.586212557091522,0.0,True
DGRO,0.6497062302033331,1.2857080558155627e-24,True,0.6563959885313486,0.0,True
DGX,0.7244939430929812,1.2074617498156391e-21,True,0.7102987510548289,0.0,True
DHI,0.3777837778296251,0.0,True,0.3190822276491445,0.0,True
DHR,0.4117221765431235,0.0,True,0.5151486161078188,0.0,True
DIA,0.7335148043650395,1.8825051654846495e-24,True,0.7443488657973629,0.0,True
DIS,0.1655654608899626,2.6217000460248882e-27,True,0.10927684342601729,0.0,True
DKS,0.004524433477218757,3.3921012263085395e-16,False,0.016761629407436196,0.0,False
DLB,0.35746110305240053,0.0,True,0.4220351098194912,0.0,True
DLTR,0.6698624227703674,8.176438038826426e-12,True,0.5175895085952902,0.0,True
DNLI,0.403235347241898,0.0,True,0.3711522636692693,0.0,True
DOCU,0.34992426081846545,0.0,True,0.41006474031995177,0.0,True
DOV,0.05371172778222955,1.9449832765938453e-23,True,0.05916091834755258,0.0,True
DOW,0.9027843833758682,0.0,True,0.9376564455983983,0.0,True
DOX,0.09360003023333996,0.0,True,0.1100784643137031,0.0,True
DPZ,0.10244149373363143,1.4564214098276206e-23,True,0.07674455365965595,0.0,True
DRI,0.521616120799799,0.0,True,0.6357089021202298,0.0,True
DT,0.16037412834760773,0.0,True,0.12415218565803793,0.0,True
DTE,0.5289907531450094,8.193754871843459e-20,True,0.5474898005384556,0.0,True
DUK,0.4686960076544655,0.0,True,0.5060396956159415,0.0,True
DVA,0.20772657545929346,0.0,True,0.23444304890033302,0.0,True
DVN,0.5838858331689576,4.80739455530645e-14,True,0.4704747855460863,0.0,True
DVY,0.41322424202554386,0.0,True,0.5046187956424674,0.0,True
DXC,0.5031967020243864,1.3745082409711674e-26,True,0.5278931285474303,0.0,True
DXCM,0.4260334030253964,0.0,True,0.4989443277255842,0.0,True
EA,0.8321676367563268,0.0,True,0.8834291343249293,0.0,True
EBAY,0.6238770366778047,5.305080862606084e-22,True,0.6627776407935975,0.0,True
ECL,0.08278822737511515,0.0,True,0.0951811729013009,0.0,True
EEFT,0.7039537758302016,0.0,True,0.7755929402489783,0.0,True
EEM,0.8660164562515094,1.9207013238118394e-22,True,0.8909869065803289,0.0,True
EFA,0.7004492108114344,6.767901583575037e-25,True,0.7872515192466858,0.0,True
EFAV,0.851568824205198,1.541367144635329e-18,True,0.8228259843151928,0.0,True
EFG,0.22059444490516655,4.262732661046511e-25,True,0.2836844285118071,0.0,True
EFV,0.9023624725833304,2.3729927462253564e-24,True,0.9359334648666892,0.0,True
EFX,0.14204918750298362,5.355539957624981e-27,True,0.1712262308020227,0.0,True
EHC,0.20274573958046,5.695077373299215e-23,True,0.18700810103548277,0.0,True
EIX,0.6924561386664092,0.0,True,0.614193144648466,0.0,True
EL,0.4019088177781221,0.0,True,0.39851157526342373,0.0,True
ELAN,0.7999444926786221,0.0,True,0.7472644285904729,0.0,True
ELV,0.7010432478427714,4.166252136443453e-06,True,0.7458099744263055,0.0,True
EMB,0.6801021859167344,7.254483970719008e-20,True,0.7678477779559681,0.0,True
EME,0.1622880243769776,6.515144978660873e-13,True,0.1733834697177648,0.0,True
EMN,0.8521843480981219,0.0,True,0.8601468801654844,0.0,True
EMR,0.24337165629188556,1.1553849867020745e-27,True,0.21840062703435115,0.0,True
ENOV,0.7987897278179357,0.0,True,0.8694722426699768,0.0,True
ENPH,0.8522503692080496,0.0,True,0.8668842369952948,0.0,True
ENTG,0.5265816289807811,0.0,True,0.5325446276690274,0.0,True
EOG,0.11607691765100397,1.6758810269495213e-26,True,0.20059566918160693,0.0,True
EPAM,0.2776846224962943,0.0,True,0.23273195593043483,0.0,True
EQH,0.277199142325833,5.248846303601929e-25,True,0.291925211390674,0.0,True
EQT,0.6673503216723238,0.0,True,0.7289232816803201,0.0,True
ES,0.16445091150931201,0.0,True,0.15469314446637483,0.0,True
ESGU,0.643646812705083,1.3790446187127763e-24,True,0.631651496707643,0.0,True
ESI,0.06820037713637261,0.0,True,0.05705693028824232,0.0,True
ESNT,0.09599490313277825,0.0,True,0.09862804230172262,0.0,True
ESTC,0.19449078108116225,0.0,True,0.16763796888170251,0.0,True
ETN,0.03702921255055966,1.0563173704948834e-24,False,0.047560441976787375,0.0,False
ETR,0.819962829114679,4.586457300374113e-23,True,0.7952940827157953,0.0,True
ETSY,0.03403326989839342,0.0,False,0.040895758297141,0.0,False
EURAUD,0.6642142832489959,1.037713822147764e-26,True,0.6436442495327109,0.0,True
EURCAD,0.8001419388939066,0.0,True,0.8258689487194473,0.0,True
EURCHF,0.2056009900857616,0.0,True,0.2262812377588168,0.0,True
EURGBP,0.3913823592111162,0.0,True,0.4725884656395933,0.0,True
EURJPY,0.7941810491290744,0.0,True,0.7719186986345483,0.0,True
EURMXN,0.47620602910590226,5.564910177455451e-13,True,0.5183789188248803,0.0,True
EURNOK,0.0027746582462386737,0.0,False,0.00214537610659744,0.0,False
EURNZD,0.8901814611642829,0.0,True,0.9257137377532515,0.0,True
EURSEK,0.5817716798165481,0.0,True,0.5271883836475911,0.0,True
EURTRY,0.966811626584862,0.0,True,0.9659802972590829,0.0,True
EURUSD,0.8180925222379694,0.0,True,0.8421726421400484,0.0,True
EVR,0.5755261158974595,0.0,True,0.5765365906280657,0.0,True
EVRG,0.7861613773160144,2.222162252884008e-20,True,0.7992607490147645,0.0,True
EW,0.20445132188563125,0.0,True,0.1395705350713991,0.0,True
EWBC,0.5750472713395605,0.0,True,0.5703385460815631,0.0,True
EWJ,0.3578843104683943,0.0,True,0.5080888744456533,0.0,True
EWT,0.5737978457449773,1.3878758651545456e-23,True,0.5627497647488124,0.0,True
EWY,0.9822680465067125,7.713813594545999e-22,True,0.9826270245237231,0.0,True
EWZ,0.30670564426269387,0.0,True,0.2907245952658966,0.0,True
EXC,0.5869982681757921,0.0,True,0.574040423303072,0.0,True
EXEL,0.8425083683745941,4.18944330872822e-20,True,0.8345166708690196,0.0,True
EXP,0.2005675286480414,0.0,True,0.14507117378204798,0.0,True
EXPD,0.45895810400927345,4.829653133301217e-30,True,0.5947067565816286,0.0,True
EXPE,0.9219838248571051,0.0,True,0.9669629214767175,0.0,True
EZU,0.811562358052562,2.1557477765314626e-25,True,0.8566097562670985,0.0,True
F,0.18894893452143108,1.728407023419779e-21,True,0.26442531261279234,0.0,True
FAF,0.039132275816244705,2.654142432556922e-29,False,0.061172938304776756,0.0,True
FANG,0.4302944813592348,2.821875053394711e-24,True,0.5421335800125922,0.0,True
FAST,0.36344903526924627,0.0,True,0.35282850985485403,0.0,True
FBIN,0.7520604670019447,0.0,True,0.8083589964626987,0.0,True
FCHI40,0.05555630154700478,3.0927122639447666e-14,True,0.06317871368558399,0.0,True
FCX,0.12687559773284485,1.3385179104465443e-25,True,0.13001128880448815,0.0,True
